Gene_ID,EigenvectoreCentrality,PageRank
9322,2.1506883249896325e-05,2.3756947690813212e-05
26086,1.9440997819073048e-05,7.144161747626875e-05
115584,0.0003313019436852812,7.350915194406417e-05
1501,1.8554513703405415e-05,1.4560595285869277e-05
2915,2.184646295017539e-05,0.00015020263197220866
84100,0.0007035991108240222,4.2643580305643374e-05
58495,9.72373975293644e-05,0.0001473493790120779
4773,0.00020545642486598177,4.971362812944754e-05
4585,0.00021454342887992694,6.359970866819903e-05
7386,0.00016561486410931388,7.277007347777593e-05
9230,0.0009618916594409257,8.420015640967869e-05
5865,0.00047062302162777854,4.082764957090489e-05
5537,0.0008934044422400734,2.4633477390178518e-05
10580,5.8128639083062505e-06,3.8742698188402197e-05
7763,8.75803604144679e-05,2.4294550231389563e-05
2794,5.7769553023826686e-05,3.224764742700326e-05
8288,2.1524104079178513e-05,0.00045573989730892316
4046,0.0010039699599785098,1.470905897579383e-05
80221,5.0029213914905996e-05,2.8141985650167706e-05
3866,1.404944029303609e-07,5.220838621697412e-05
8603,0.00033180487886835694,5.086258220376213e-05
79017,1.661354075016882e-05,2.060986356867476e-05
3811,1.8250859744733932e-05,7.813450143743318e-05
10516,0.001983802190725916,2.0460461589995834e-05
56142,4.503832719627614e-06,3.8712591697280336e-05
8522,3.0544887941528875e-05,8.406851319334518e-05
54970,0.0002806541707943461,0.00040067810132966527
57489,5.3152018777337516e-05,0.00014810155296738286
79960,0.031840736680361865,0.0009242365969152862
4856,0.0016983402976137824,4.1406304272780294e-05
11103,0.00022308271756278614,0.0002341223598808878
26271,0.001317569292657265,8.581856860090832e-05
2122,0.00016789766303691096,1.955772671148906e-05
2670,4.847127155151462e-06,2.8555125293545904e-05
4057,6.397899823577052e-05,6.576085269814698e-05
6003,0.0005784220326018176,1.973306160108546e-05
214,4.0652968012659955e-05,5.072492701864473e-05
55824,0.00016215340505724288,7.738252324008986e-05
92797,0.00021613282822689552,5.6791797457066696e-05
5912,4.822320561997878e-05,8.656348594907063e-05
7003,7.976910574661085e-05,9.176807838610385e-05
654,0.000880064892999237,1.5228469331898812e-05
