Gene_ID,Average Shortest Path to all Disease genes,Local Clustering Coefficient,DegreeCentrality,ClosenessCentrality,BetweennessCentrality,EigenvectoreCentrality,PageRank,ConnectivitySignificance,isArticulationPoint,Modularity
6205,3.7642436149312384,,0.00022509003601440576,0.2759534556296327,0.003586833893933411,0.003544589664908693,0.0005453351468780102,,1.0,-0.0031168611816588285
142937,4.912246234446627,,0.00030012004801920766,0.2859840357050897,1.3320009343763307e-07,0.002768109683748454,2.871511243459508e-05,0.8854377672743642,1.0,-9.168107052900357e-05
4509,4.038637851997382,,0.0012755102040816323,0.3167827347705179,0.0,4.02844906028941e-05,1.4980154992154675e-05,2.532533222901236,1.0,-5.2347009398385464e-05
25782,4.601178781925344,,0.004051620648259304,0.3302934179222839,0.0,5.942066021871787e-05,1.768410916539128e-05,0.4265969400351014,1.0,-0.0006417674937030128
2950,3.890635232481991,,0.0012004801920768304,0.26222799354660997,1.146284856936068e-05,3.560714051268409e-05,0.00010874595170620251,3.318869631029607,1.0,-0.00014402807992739205
384,5.063523248199084,,0.00015006002400960383,0.2777881990037308,0.0001043020585895016,1.4674619787488312e-05,0.0002517167152544545,0.003161273934424557,1.0,0.0015062311895946677
84547,4.43614931237721,0.4761904761904762,0.0009753901560624248,0.29734071033374976,2.5880581688921944e-05,0.0014485467428957328,0.00010148190695367835,0.8924576671161474,1.0,-0.0007337791495253585
147687,4.05893909626719,,0.00030012004801920766,0.2637536610464656,0.007716920012049609,1.3537298926226407e-05,1.8433235027326412e-05,333.0396338619944,1.0,-0.0015584797935506325
79295,4.9921414538310405,,0.0006752701080432173,0.2875884688417055,2.391775745019287e-05,1.4087611920119728e-06,7.806134365347598e-05,0.8854377672743642,1.0,-9.168107052900357e-05
3386,4.305828421741977,,7.503001200480192e-05,0.22181908962303404,0.00016526096975867188,0.00015336444813440653,8.968813669859461e-05,0.06133176237762874,1.0,0.0014276614727758707
3309,3.5514079895219384,0.12620176032498304,0.0019507803121248497,0.3114746436083197,1.7455416682718733e-05,0.0008287602676669562,3.454365716351675e-05,,1.0,0.0009707962669468806
6133,3.8670595939751142,,0.0004501800720288115,0.28420940398763195,1.1533807655082113e-06,2.0204830088174275e-05,0.0001653785272149912,,1.0,-0.004989816653369492
6604,3.990831696136215,,0.0006002400960384152,0.29160285301710936,7.160447947615179e-09,0.00022784481587209237,4.630926502758385e-05,2.4803014247821817,1.0,0.0012836333928484824
23063,4.768172888015717,,0.001725690276110444,0.314028556618444,2.8194040806888093e-05,2.2246833915358405e-05,0.00011517331584321797,0.3776993625367077,1.0,-0.0007334485642320284
54020,4.948919449901768,,0.001650660264105642,0.3006134969325153,0.00029760923194856897,2.248748900932033e-05,2.5504785425663905e-05,0.8854377672743642,1.0,-9.168107052900357e-05
79075,4.8598559266535695,,0.00022509003601440576,0.1980710071482709,5.197351964957808e-05,0.0012568930851736266,3.0161383862786194e-05,0.7082827927115789,1.0,1.311135371021085e-05
6580,5.068762278978389,,0.0029261704681872746,0.325239756948681,0.00033729308695115424,5.087515068351972e-06,1.702597808306953e-05,0.13940552958784524,1.0,0.00047151670635522117
5423,4.270464963981663,,0.0012004801920768304,0.2959081725538953,5.0908787545117907e-05,4.0834138698052954e-07,4.2820500440105154e-05,0.1425681043222625,1.0,-0.0014668971284640569
25865,4.061558611656843,0.09848484848484848,0.0014255702280912366,0.2907821533762409,0.0001048040604084895,0.0518152473315556,0.0001010284693188883,8.71296800995461,1.0,-0.0004952568489140921
23648,4.224623444662737,,0.001875750300120048,0.3096798178354013,6.675810180287937e-06,0.000140668398071976,2.9306866176255555e-05,1.1466594393724916,1.0,-0.0007203372105218296
79728,4.368041912246235,0.3333333333333333,0.0003751500600240096,0.2755825734549139,5.079306177819203e-07,0.005131656595422404,5.341093344768098e-05,0.0008625671938013987,1.0,0.00197915881154075
386618,4.800261951538966,,0.0004501800720288115,0.2636180228648285,0.00016289567150048608,2.18953544317668e-05,2.7351750129772164e-05,0.6941630269628841,1.0,-0.0001833621410580071
51755,4.059593975114604,,0.001725690276110444,0.29696308014527306,0.00012788579975262168,0.0002853320079793705,0.0002579634323796553,,1.0,-0.00779279258952283
2879,4.592010478061559,,0.0005252100840336134,0.30097328545943136,0.0,0.0024739206214921075,4.4925204883115317e-05,1.1260468720061513e-05,1.0,0.00415196928666795
4987,4.999345121152587,,0.0015756302521008402,0.3073658964069923,1.5599418143470048e-06,4.925544993373864e-05,8.124320266410739e-05,0.6941630269628841,1.0,-0.00027504321158701087
11257,4.392272429600523,,0.0022509003601440575,0.3199923171112338,1.7450508016250889e-06,0.00041115631765026496,0.00023553764317052784,0.13940552958784524,1.0,0.0004715167063552199
6707,4.614276358873608,,0.0005252100840336134,0.28732187897471273,0.0,1.1927248704961408e-05,6.848354455560132e-05,0.6146202577769075,1.0,-0.0003667242821160142
22920,4.0969220694171575,0.21568627450980396,7.503001200480192e-05,0.2320617066843104,0.0,0.00033689968022078165,7.079044844964702e-05,0.7927406723530774,1.0,0.00022368850926928784
7424,4.710543549443353,,0.0009753901560624248,0.26932325661284784,7.872213047423596e-05,0.00012541448914693966,2.0152169300095806e-05,0.4818201960060747,1.0,-0.0004584053526450171
494115,4.814014407334644,,0.00030012004801920766,0.285726536037388,0.0,1.8803060715103947e-06,8.96621244952739e-05,0.05247689370012997,1.0,0.0005631977768842306
9092,3.988212180746562,,0.0006752701080432173,0.3035714285714285,1.4515400205480618e-05,0.00012620895990607763,0.00013460327019961554,,1.0,-0.010543224705392968
694,4.24950884086444,0.1111111111111111,0.0009753901560624248,0.31001837593915005,6.910985536329845e-05,9.517992412500016e-05,1.797812996704846e-05,0.6584615820833334,1.0,0.00030174702814709083
22801,4.852652259332023,,7.503001200480192e-05,0.2590174129353234,0.00022950315893323754,0.0009359047423129113,5.425464066491861e-05,0.13940552958784524,1.0,0.0004715167063552208
80067,5.176162409954158,,0.0031512605042016803,0.3125923493679199,0.00012592800939773477,0.0005169335547331309,0.00010148190695367835,0.8854377672743642,1.0,-9.168107052900357e-05
5330,4.118533071381794,,0.00015006002400960383,0.23427667428370536,1.4107096195967224e-06,1.5166790076080982e-05,4.996544857014126e-05,20.598031980481423,1.0,0.0012181750297398848
5786,4.023575638506876,,0.000900360144057623,0.30889033095392604,5.634293704330332e-06,9.299440849003292e-05,1.8651574553595816e-05,1.1505981924414894,1.0,-0.0007203372105218269
8031,4.201702685003275,,0.018382352941176468,0.3835947618362354,0.00010893000694033922,0.0013828428836454318,2.0539942625290016e-05,0.001518912908402337,1.0,0.002265902461247117
7844,4.241650294695481,,0.0012755102040816323,0.2963424124513619,0.00013906371474924742,1.0902043944368182e-05,0.00048374271359568895,1.5340166975129244,1.0,-0.00015713943363759744
6541,5.187950229207597,,0.000900360144057623,0.3100760765884187,7.06431879709311e-08,0.00048644444986234393,7.205222096862283e-05,0.8854377672743642,1.0,-9.168107052900357e-05
4957,4.581532416502947,,0.02213385354141657,0.3633884996046569,9.97943367013547e-05,0.0017016357331157278,4.4364649031301296e-05,0.13940552958784524,1.0,0.000471516706355221
91875,4.641781270464964,,0.00015006002400960383,0.2574066205724439,8.139089364837087e-07,0.0009137073046093357,4.6068500438104523e-05,0.246885969035216,1.0,0.0003798356358262186
573971,4.501637197118534,,0.00030012004801920766,0.20331019754404694,3.974549270058237e-06,6.658887770317909e-06,6.829687690590925e-05,0.4839456598975898,1.0,0.0002881545652972116
9509,5.509495743287491,,0.003601440576230492,0.31715210355987056,3.846075037546273e-06,1.1178563660299317e-05,1.684505569773166e-05,0.8854377672743642,1.0,-9.168107052900357e-05
55093,3.8880157170923377,,0.007953181272509003,0.3259636079045197,0.0,0.00018758443458529944,0.00017418307304480491,880.8493568167406,1.0,0.002331557635240556
4128,4.315651604453176,,0.00030012004801920766,0.27069074070312976,2.882244796877308e-05,2.1582089669824776e-05,2.560090281446889e-05,31.28718985407485,1.0,-0.0007595728662100033
